titulo,casas,local,preco,bairro,cidade,descriçao,atributos,quartos,banheiro
ALUGO Casa na Ilha de Cotijuba,"ÁREA CONSTRUÍDA 126m² - TERRENO 25X28 br br ALUGUEL UMA SEMANA 500,00 br ALUGUEL O FINAL DE SENANA 300,00 [...]"," Belém, PA",300, Belém, PA,"AluguelR$300 /mêsALUGO Casa na Ilha de CotijubaÁREA CONSTRUÍDA 126m² - TERRENO 25X28 br br ALUGUEL UMA SEMANA 500,00 br ALUGUEL O FINAL DE SENANA 300,00 [...", 2 Dormitórios 1.250m² de Área, 2 ,1
GLEBA III 2 SUITES,"Com 2 SUITES, garagem, sala com banheiro social, cozinha e área de serviço. Casa com 2 dormitórios, 3 banheiros, [...]"," Castanheira, Belém ",1800, Castanheira, Belém ,"AluguelR$1.800 /mêsGLEBA III 2 SUITESCom 2 SUITES, garagem, sala com banheiro social, cozinha e área de serviço. Casa com 2 dormitórios, 3 banheiros, [...", 2 Dormitórios 3 Banheiros 1 Vaga na garagem, 2 ,3
Casa para alugar em salinas,"Em maçarico. Casa com 3 dormitórios, 1 vaga na garagem, aluguel por R$200 /mês, localizado em Marco, Belém"," Marco, Belém ",200, Marco, Belém ,"AluguelR$200 /mêsCasa para alugar em salinasEm maçarico. Casa com 3 dormitórios, 1 vaga na garagem, aluguel por R$200 /mês, localizado em Marco, Belém 3 Dormitórios 1 Vaga na garagem",Desconhecido,0,0
Kitnet - Pedro Miranda,"Kitnet na Pedro Miranda próximo o Lider, com dois compartimentos, (um em cima e outro em baixo), banheiro na [...]"," Belém, PA",550, Belém, PA,"AluguelR$550 /mêsKitnet - Pedro MirandaKitnet na Pedro Miranda próximo o Lider, com dois compartimentos, (um em cima e outro em baixo), banheiro na [...", 3 Dormitórios 2 Suítes 2 Banheiros, 3 ,2
ALUGA-SE CABANAGEM,"Mais informações entrar em contato (91) 9 83187889. Casa com 2 dormitórios, 2 banheiros, aluguel por R$400 [...]"," Cabanagem, Belém ",400, Cabanagem, Belém ,"AluguelR$400 /mêsALUGA-SE CABANAGEMMais informações entrar em contato (91) 9 83187889. Casa com 2 dormitórios, 2 banheiros, aluguel por R$400 [...", 2 Dormitórios 2 Banheiros, 2 ,2
Linda e ampla casa de 3 qts na Barão do Triunfo!,"Linda e ampla casa de 2 pavimentos, construído em fino acabamento! No 1°pavimento 2 vagas de garagem, Sala [...]"," Belém, PA",3000, Belém, PA,"AluguelR$3.000 /mêsLinda e ampla casa de 3 qts na Barão do Triunfo!Linda e ampla casa de 2 pavimentos, construído em fino acabamento! No 1°pavimento 2 vagas de garagem, Sala [...", 3 Dormitórios 3 Banheiros 2 Vagas na garagem, 3 ,3
Belíssima casa apra alugar na Vila 3 de maio,"Excelente casa na vila 3 de Maio na Av. Generalíssimo Deodoro, entre a Gentil Bittencourt e a Conselheiro Furtado [...]"," Nazaré, Belém ",2150, Nazaré, Belém ,"AluguelR$2.150 /mêsBelíssima casa apra alugar na Vila 3 de maioExcelente casa na vila 3 de Maio na Av. Generalíssimo Deodoro, entre a Gentil Bittencourt e a Conselheiro Furtado [...", 3 Dormitórios 2 Banheiros, 3 ,2
Casa no Conjunto Castelo Branco,"VAZCOB IMÓVEIS ALUGA EM PARCERIA Casa no Conjunto Castelo Branco, na Alameda Central, próximo ao TJE. O imóvel [...]"," Curió, Belém ",2000, Curió, Belém ,"AluguelR$2.000 /mêsCasa no Conjunto Castelo BrancoVAZCOB IMÓVEIS ALUGA EM PARCERIA Casa no Conjunto Castelo Branco, na Alameda Central, próximo ao TJE. O imóvel [...", 2 Dormitórios 1 Banheiro 1 Vaga na garagem, 2 ,1
"Casa de 02 pavimentos no condomínio Montenegro Boulevard, 03 suíte 01 master, área de ch","LINDA CASA NO CONDOMÍNIO MONTENEGRO BOULEVARD. Localizado na Av. Augusto Montenegro, bairro do Parque Verde, [...]"," Parque Verde, Belém ",9000, Parque Verde, Belém ,"AluguelR$9.000 /mêsCasa de 02 pavimentos no condomínio Montenegro Boulevard, 03 suíte 01 master, área de chLINDA CASA NO CONDOMÍNIO MONTENEGRO BOULEVARD. Localizado na Av. Augusto Montenegro, bairro do Parque Verde, [...", 4 Dormitórios 4 Suítes 5 Banheiros, 4 ,4
Casa na Travessa dos Tupinambás,"VAZCOB IMÓVEIS ALUGA EM PARCERIA Casa na Travessa dos Tupinambás, Condor. O imóvel possui 04 quartos (sendo [...]"," Condor, Belém ",3000, Condor, Belém ,"AluguelR$3.000 /mêsCasa na Travessa dos TupinambásVAZCOB IMÓVEIS ALUGA EM PARCERIA Casa na Travessa dos Tupinambás, Condor. O imóvel possui 04 quartos (sendo [...", 4 Dormitórios 2 Suítes 3 Banheiros, 4 ,2
Casa de 2 pavimentos no Cidade Jardim I - 4 dormitórios sendo 2 suítes,ÓTIMA CASA DE 2 PAVIMENTOS NO CONDOMÍNIO CIDADE JARDIM I. Valor da locação já incluso taxa de condomínio. [...]," Parque Verde, Belém ",3600, Parque Verde, Belém ,AluguelR$3.600 /mêsCasa de 2 pavimentos no Cidade Jardim I - 4 dormitórios sendo 2 suítesÓTIMA CASA DE 2 PAVIMENTOS NO CONDOMÍNIO CIDADE JARDIM I. Valor da locação já incluso taxa de condomínio. [..., 4 Dormitórios 2 Suítes 5 Banheiros, 4 ,2
Casa no Condomínio Residencial Lago Azul,"VAZCOB IMÓVEIS ALUGA EM PARCERIA Casa no Condomínio Residencial Lago Azul, em Ananindeua. O imóvel possui 03 [...]"," Coqueiro, Belém ",3500, Coqueiro, Belém ,"AluguelR$3.500 /mêsCasa no Condomínio Residencial Lago AzulVAZCOB IMÓVEIS ALUGA EM PARCERIA Casa no Condomínio Residencial Lago Azul, em Ananindeua. O imóvel possui 03 [...", 3 Dormitórios 3 Suítes 1 Banheiro, 3 ,3
Casa na Conselheiro Furtado - Cremação,"VAZCOB IMÓVEIS ALUGA EM PARCERIA Casa com 02 andares na Conselheiro Furtado, Cremação. O imóvel possui 03 [...]"," Cremação, Belém ",2200, Cremação, Belém ,"AluguelR$2.200 /mêsCasa na Conselheiro Furtado - CremaçãoVAZCOB IMÓVEIS ALUGA EM PARCERIA Casa com 02 andares na Conselheiro Furtado, Cremação. O imóvel possui 03 [...", 3 Dormitórios 1 Suíte 1 Banheiro, 3 ,1
Casa na Tv. Dom Romualdo de Seixas,"VAZCOB IMÓVEIS ALUGA EM PARCERIA Casa na Travessa Dom Romualdo de Seixas, no Umarizal. O imóvel possui 03 quartos [...]"," Nazaré, Belém ",8500, Nazaré, Belém ,"AluguelR$8.500 /mêsCasa na Tv. Dom Romualdo de SeixasVAZCOB IMÓVEIS ALUGA EM PARCERIA Casa na Travessa Dom Romualdo de Seixas, no Umarizal. O imóvel possui 03 quartos [...", 3 Dormitórios 1 Suíte 1 Banheiro, 3 ,1
Casa no Condomínio Montenegro Boulevard,"VAZCOB IMÓVEIS ALUGA EM PARCERIA Casa no Condomínio Montenegro Boulevard, na Augusto Montenegro. O imóvel possui [...]"," Parque Verde, Belém ",9800, Parque Verde, Belém ,"AluguelR$9.800 /mêsCasa no Condomínio Montenegro BoulevardVAZCOB IMÓVEIS ALUGA EM PARCERIA Casa no Condomínio Montenegro Boulevard, na Augusto Montenegro. O imóvel possui [...", 4 Dormitórios 2 Suítes 5 Banheiros, 4 ,2
Casa no Souza px Assembleia Paraense,"Excelente casa térrea, contendo patio/garagem, ampla sala, 4/4, sendo 1 suite, cozinha com armários, área de [...]"," Souza, Belém ",1900, Souza, Belém ,"AluguelR$1.900 /mêsCasa no Souza px Assembleia ParaenseExcelente casa térrea, contendo patio/garagem, ampla sala, 4/4, sendo 1 suite, cozinha com armários, área de [...", 1 Suíte 2 Banheiros 1 Vaga na garagem,2,0
CASA DE PRAIA NO MOSQUEIRO,"EXCELENTE IMÓVEL ESTILO COLONIAL COM 04 QUARTOS, GARAGEM COBERTA, MOBILIADA, COZINHA EQUIPADA, VARANDA, ÁREA [...]"," Ariramba, Belém ",1300, Ariramba, Belém ,"AluguelR$1.300 /mêsCASA DE PRAIA NO MOSQUEIROEXCELENTE IMÓVEL ESTILO COLONIAL COM 04 QUARTOS, GARAGEM COBERTA, MOBILIADA, COZINHA EQUIPADA, VARANDA, ÁREA [...", 4 Dormitórios 2 Suítes 4 Banheiros, 4 ,2
Excelente imóvel comercial bem localizado,Excelente imóvel comercial com área de 10 m x 60 m de fundos com área construída de 450 m². Br / br / Locação [...]," Umarizal, Belém ",13000000, Umarizal, Belém ,AluguelR$13.000.000 /mêsExcelente imóvel comercial bem localizadoExcelente imóvel comercial com área de 10 m x 60 m de fundos com área construída de 450 m². Br / br / Locação [..., 6 Dormitórios 3 Suítes 5 Banheiros, 6 ,3
Excelente Casa para Locação na Av. Conselheiro Furtado 156 m²,CASA BANGALÔ br / br / br / -Casa altos e baixos br / -Térreo br / -Garagem para 1 carro e área gradeada. [...]," Cremação, Belém ",2500, Cremação, Belém ,AluguelR$2.500 /mêsExcelente Casa para Locação na Av. Conselheiro Furtado 156 m²CASA BANGALÔ br / br / br / -Casa altos e baixos br / -Térreo br / -Garagem para 1 carro e área gradeada. [..., 3 Dormitórios 2 Banheiros 1 Vaga na garagem, 3 ,2
Casa com piscina No Umarizal,"Excelente casa de 2 pavimentos, garagem para 4 carros, pátio grande, sala 2 ambientes, quarto grande,copa cozinha, [...]"," Umarizal, Belém ",4500, Umarizal, Belém ,"AluguelR$4.500 /mêsCasa com piscina No UmarizalExcelente casa de 2 pavimentos, garagem para 4 carros, pátio grande, sala 2 ambientes, quarto grande,copa cozinha, [...", 5 Dormitórios 2 Suítes 5 Banheiros, 5 ,2
"Casa para Locação em Belém, Nazaré, 4 dormitórios, 2 banheiros","Alugamos excelente Casa para fins comericias ou residenciais, bem localizada a Av. Gentil Bitencourt, 1548 entre [...]"," Nazaré, Belém ",3000, Nazaré, Belém ,"AluguelR$3.000 /mêsCasa para Locação em Belém, Nazaré, 4 dormitórios, 2 banheirosAlugamos excelente Casa para fins comericias ou residenciais, bem localizada a Av. Gentil Bitencourt, 1548 entre [...", 4 Dormitórios 2 Banheiros, 4 ,2
"Casa para Locação em Belém, Umarizal, 4 dormitórios, 2 suítes, 4 banheiros, 3 vagas",A Mota imóveis trás à você uma ótima oportunidade de estar adquirindo sua moradia ou alavancando seus negócios. [...]," Umarizal, Belém ",20000, Umarizal, Belém ,"AluguelR$20.000 /mêsCasa para Locação em Belém, Umarizal, 4 dormitórios, 2 suítes, 4 banheiros, 3 vagasA Mota imóveis trás à você uma ótima oportunidade de estar adquirindo sua moradia ou alavancando seus negócios. [...", 4 Dormitórios 2 Suítes 4 Banheiros, 4 ,2
1 dormitório na Avenida Generalíssimo Deodoro,Excelente casa distribuída em dois pavimentos na Av. Generalíssimo Deodoro no bairro do Umarizal Código A048 [...]," Umarizal, Belém ",3500, Umarizal, Belém ,AluguelR$3.500 /mês1 dormitório na Avenida Generalíssimo DeodoroExcelente casa distribuída em dois pavimentos na Av. Generalíssimo Deodoro no bairro do Umarizal Código A048 [..., 1 Dormitório 2 Banheiros, 1 ,2
2 banheiro na Avenida Gentil Bittencourt,"Excelente casa comercial na Travessa Castelo Branco, entre Magalhães Barata e Gentil no bairro de São brás [...]"," São Brás, Belém ",3970, São Brás, Belém ,"AluguelR$3.970 /mês2 banheiro na Avenida Gentil BittencourtExcelente casa comercial na Travessa Castelo Branco, entre Magalhães Barata e Gentil no bairro de São brás [...", 2 Banheiros 2 Vagas na garagem, 2 ,0
D A Imóveis Aluga bela casa localizada na Avenida Generalíssimo Deodoro,"D A Imóveis Aluga bela casa localizada na Avenida Generalíssimo Deodoro br br Para informações e agendamentos, [...]"," Nazaré, Belém ",2100, Nazaré, Belém ,"AluguelR$2.100 /mêsD A Imóveis Aluga bela casa localizada na Avenida Generalíssimo DeodoroD A Imóveis Aluga bela casa localizada na Avenida Generalíssimo Deodoro br br Para informações e agendamentos, [...", 3 Dormitórios 2 Banheiros, 3 ,2
"CASA RESIDENCIAL em BELÉM - PA, UMARIZAL",Excelente casa distribuída em dois pavimentos na Av. Generalíssimo Deodoro no bairro do Umarizal br br Código [...]," Umarizal, Belém ",3500, Umarizal, Belém ,"AluguelR$3.500 /mêsCASA RESIDENCIAL em BELÉM - PA, UMARIZALExcelente casa distribuída em dois pavimentos na Av. Generalíssimo Deodoro no bairro do Umarizal br br Código [...", 1 Dormitório 2 Banheiros, 1 ,2
3 dormitórios na Avenida Generalíssimo Deodoro,"Excelente casa comercial com 2 pavimentos, na Avenida Generalíssimo Deodoro no bairro do Umarizal. Código AE016 [...]"," Umarizal, Belém ",2669, Umarizal, Belém ,"AluguelR$2.669 /mês3 dormitórios na Avenida Generalíssimo DeodoroExcelente casa comercial com 2 pavimentos, na Avenida Generalíssimo Deodoro no bairro do Umarizal. Código AE016 [...", 3 Dormitórios 1 Banheiro, 3 ,1
"CASA RESIDENCIAL em Belém - PA, Marco","Excelente casa duplex para alugar, na Trav. Timbó, ao lado da autoescola Foca, quase na esquina com a Duque de [...]"," Marco, Belém ",2500, Marco, Belém ,"AluguelR$2.500 /mêsCASA RESIDENCIAL em Belém - PA, MarcoExcelente casa duplex para alugar, na Trav. Timbó, ao lado da autoescola Foca, quase na esquina com a Duque de [...", 3 Dormitórios 1 Suíte 2 Banheiros, 3 ,1
3 dormitórios na Avenida Generalíssimo Deodoro,"Excelente casa na Vila 3 de Maio na Av. Generalíssimo Deodoro, entre a Gentil Bittencourt e a Conselheiro Furtado. [...]"," Nazaré, Belém ",2150, Nazaré, Belém ,"AluguelR$2.150 /mês3 dormitórios na Avenida Generalíssimo DeodoroExcelente casa na Vila 3 de Maio na Av. Generalíssimo Deodoro, entre a Gentil Bittencourt e a Conselheiro Furtado. [...", 3 Dormitórios 2 Banheiros, 3 ,2
"4 dormitórios, 2 suíte, 3 banheiro, 160M² de Área Construída",Excelente casa comercial no panorama XXI de frente para Augusto Montenegro no bairro do Mangueirão Código AR018(para [...]," Mangueirão, Belém ",2500, Mangueirão, Belém ,"AluguelR$2.500 /mês4 dormitórios, 2 suíte, 3 banheiro, 160M² de Área ConstruídaExcelente casa comercial no panorama XXI de frente para Augusto Montenegro no bairro do Mangueirão Código AR018(para [...", 4 Dormitórios 2 Suítes 3 Banheiros, 4 ,2
"3 dormitórios, 1 suítes, 2 banheiro, 1 vaga na garagem, 217M² de Área Construída","Excelente casa duplex para alugar, na Trav. Timbó, ao lado da autoescola Foca, quase na esquina com a Duque de [...]"," Marco, Belém ",2500, Marco, Belém ,"AluguelR$2.500 /mês3 dormitórios, 1 suítes, 2 banheiro, 1 vaga na garagem, 217M² de Área ConstruídaExcelente casa duplex para alugar, na Trav. Timbó, ao lado da autoescola Foca, quase na esquina com a Duque de [...", 3 Dormitórios 1 Suíte 2 Banheiros, 3 ,1
"CASA RESIDENCIAL em BELÉM - PA, CONDOR","Excelente casa na Travessa Tupinambás Nº 338, no bairro da Batista Campos br br Código AR010(para facilitar [...]"," Condor, Belém ",4500, Condor, Belém ,"AluguelR$4.500 /mêsCASA RESIDENCIAL em BELÉM - PA, CONDORExcelente casa na Travessa Tupinambás Nº 338, no bairro da Batista Campos br br Código AR010(para facilitar [...", 3 Dormitórios 3 Suítes 2 Vagas na garagem, 3 ,3
"3 dormitórios, 1 suítes, 2 banheiro, 110M² de Área Construída",Belíssima casa na Travessa Manoel Evaristo no bairro do Umarizal. Altos Código AR09(para facilitar o atendimento [...]," Umarizal, Belém ",1921, Umarizal, Belém ,"AluguelR$1.921 /mês3 dormitórios, 1 suítes, 2 banheiro, 110M² de Área ConstruídaBelíssima casa na Travessa Manoel Evaristo no bairro do Umarizal. Altos Código AR09(para facilitar o atendimento [...", 3 Dormitórios 1 Suíte 2 Banheiros, 3 ,1
Casa com 4 dorms em Belém - Marco por 2 mil para alugar,"Sua fam iacute lia eacute grande, com muitos m oacute veis grandes e n atilde o eacute qualquer casa e apartamento [...]"," Marco, Belém ",2000, Marco, Belém ,"AluguelR$2.000 /mêsCasa com 4 dorms em Belém - Marco por 2 mil para alugarSua fam iacute lia eacute grande, com muitos m oacute veis grandes e n atilde o eacute qualquer casa e apartamento [...", 4 Dormitórios 1 Suíte 3 Banheiros, 4 ,1
"3 dormitórios, 3 suíte, 2 vagas na garagem, 269M² de Área Construída","Excelente casa na Travessa Tupinambás Nº 338, no bairro da Batista Campos Código AR010(para facilitar o atendimento [...]"," Condor, Belém ",4500, Condor, Belém ,"AluguelR$4.500 /mês3 dormitórios, 3 suíte, 2 vagas na garagem, 269M² de Área ConstruídaExcelente casa na Travessa Tupinambás Nº 338, no bairro da Batista Campos Código AR010(para facilitar o atendimento [...", 3 Dormitórios 3 Suítes 2 Vagas na garagem, 3 ,3
Casa no Conjunto Cordeiro de Farias,"Casa no Conjunto Cordeiro de Farias localizado na Alemeda 02 próximo a principal, próximos a parada de ônibus, [...]"," Tapanã, Belém ",700, Tapanã, Belém ,"AluguelR$700 /mêsCasa no Conjunto Cordeiro de FariasCasa no Conjunto Cordeiro de Farias localizado na Alemeda 02 próximo a principal, próximos a parada de ônibus, [...", 3 Dormitórios 1 Banheiro 2 Vagas na garagem, 3 ,1
Casa com 3 dorms em Belém - Umarizal por 1.7 mil para alugar,Quer morar numa casa no umarizal mas a preocupa ccedil atilde o eacute com a seguran ccedil a Que tal morar [...]," Umarizal, Belém ",1700, Umarizal, Belém ,AluguelR$1.700 /mêsCasa com 3 dorms em Belém - Umarizal por 1.7 mil para alugarQuer morar numa casa no umarizal mas a preocupa ccedil atilde o eacute com a seguran ccedil a Que tal morar [..., 3 Dormitórios 1 Suíte 2 Banheiros, 3 ,1
